Time: 1: Elf Bill:     Selected toy doll, girl
Time: 2: Elf Bill:     Wrapped toy doll, girl
Time: 2: Elf Bill:     Placed toy doll, girl
Time: 4: Elf Bill:     Selected toy whistle, girl
Time: 5: Elf Bill:     Wrapped toy whistle, girl
Time: 6: Elf Bill:     Placed toy whistle, girl
Time: 7: Elf Bill:     Selected toy doll, girl
Time: 7: Elf Bill:     Wrapped toy doll, girl
Time: 8: Elf Bill:     Placed toy doll, girl
Time: 9: Elf Bill:     Selected toy train, girl
Time: 10: Elf Bill:     Wrapped toy train, girl
Time: 10: Elf Bill:     Placed toy train, girl
Time: 12: Elf Bill:     Selected toy whistle, boy
Time: 12: Elf Bill:     Wrapped toy whistle, boy
Time: 13: Elf Bill:     Placed toy whistle, boy
Time: 14: Elf Bill:     Selected toy dinosaur, girl
Time: 14: Elf Bill:     Wrapped toy dinosaur, girl
Time: 14: Elf Bill:     Placed toy dinosaur, girl
Time: 16: Elf Bill:     Selected toy whistle, boy
Time: 17: Elf Bill:     Wrapped toy whistle, boy
Time: 17: Elf Bill:     Placed toy whistle, boy
Time: 17: Elf Bill:     Selected toy doll, girl
Time: 18: Elf Bill:     Wrapped toy doll, girl
Time: 18: Elf Bill:     Placed toy doll, girl
Time: 19: Elf Bill:     Selected toy fake tattoo, boy
Time: 20: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 21: Elf Bill:     Placed toy fake tattoo, boy
Time: 21: Elf Bill:     Selected toy whistle, boy
Time: 22: Elf Bill:     Wrapped toy whistle, boy
Time: 23: Elf Bill:     Placed toy whistle, boy
Time: 24: Elf Bill:     Selected toy doll, boy
Time: 25: Elf Bill:     Wrapped toy doll, boy
Time: 25: Elf Bill:     Placed toy doll, boy
Time: 27: Elf Bill:     Selected toy whistle, girl
Time: 28: Elf Bill:     Wrapped toy whistle, girl
Time: 29: Elf Bill:     Placed toy whistle, girl
Time: 30: Elf Bill:     Selected toy train, boy
Time: 30: Elf Bill:     Wrapped toy train, boy
Time: 30: Elf Bill:     Placed toy train, boy
Time: 32: Elf Bill:     Selected toy train, girl
Time: 33: Elf Bill:     Wrapped toy train, girl
Time: 33: Elf Bill:     Placed toy train, girl
Time: 34: Elf Bill:     Selected toy dinosaur, boy
Time: 34: Elf Bill:     Wrapped toy dinosaur, boy
Time: 35: Elf Bill:     Placed toy dinosaur, boy
Time: 35: Elf Bill:     Selected toy doll, girl
Time: 36: Elf Bill:     Wrapped toy doll, girl
Time: 36: Elf Bill:     Placed toy doll, girl
Time: 37: Elf Bill:     Selected toy whistle, boy
Time: 38: Elf Bill:     Wrapped toy whistle, boy
Time: 38: Elf Bill:     Placed toy whistle, boy
Time: 39: Elf Bill:     Selected toy doll, girl
Time: 40: Elf Bill:     Wrapped toy doll, girl
Time: 41: Elf Bill:     Placed toy doll, girl
Time: 42: Elf Bill:     Selected toy doll, girl
Time: 43: Elf Bill:     Wrapped toy doll, girl
Time: 44: Elf Bill:     Placed toy doll, girl
Time: 44: Elf Bill:     Selected toy dinosaur, boy
Time: 45: Elf Bill:     Wrapped toy dinosaur, boy
Time: 46: Elf Bill:     Placed toy dinosaur, boy
Time: 47: Elf Bill:     Selected toy bracelet, girl
Time: 47: Elf Bill:     Wrapped toy bracelet, girl
Time: 48: Elf Bill:     Placed toy bracelet, girl
Time: 49: Elf Bill:     Selected toy train, boy
Time: 50: Elf Bill:     Wrapped toy train, boy
Time: 51: Elf Bill:     Placed toy train, boy
Time: 52: Elf Bill:     Selected toy bracelet, girl
Time: 53: Elf Bill:     Wrapped toy bracelet, girl
Time: 53: Elf Bill:     Placed toy bracelet, girl
Time: 55: Elf Bill:     Selected toy bracelet, boy
Time: 55: Elf Bill:     Wrapped toy bracelet, boy
Time: 55: Elf Bill:     Placed toy bracelet, boy
Time: 57: Elf Bill:     Selected toy fake tattoo, girl
Time: 57: Elf Bill:     Wrapped toy fake tattoo, girl
Time: 58: Elf Bill:     Placed toy fake tattoo, girl
Time: 59: Elf Bill:     Selected toy doll, boy
Time: 59: Elf Bill:     Wrapped toy doll, boy
Time: 60: Elf Bill:     Placed toy doll, boy
Time: 61: Elf Bill:     Selected toy dinosaur, girl
Time: 61: Elf Bill:     Wrapped toy dinosaur, girl
Time: 61: Elf Bill:     Placed toy dinosaur, girl
Time: 62: Elf Bill:     Selected toy whistle, boy
Time: 63: Elf Bill:     Wrapped toy whistle, boy
Time: 63: Elf Bill:     Placed toy whistle, boy
Time: 65: Elf Bill:     Selected toy train, girl
Time: 66: Elf Bill:     Wrapped toy train, girl
Time: 66: Elf Bill:     Placed toy train, girl
Time: 67: Elf Bill:     Selected toy whistle, girl
Time: 67: Elf Bill:     Wrapped toy whistle, girl
Time: 67: Elf Bill:     Placed toy whistle, girl
Time: 68: Elf Bill:     Selected toy bracelet, girl
