Time: 1: Elf David:     Selected toy whistle, boy
Time: 1: Elf David:     Wrapped toy whistle, boy
Time: 1: Elf David:     Placed toy whistle, boy
Time: 2: Elf David:     Selected toy bracelet, girl
Time: 3: Elf David:     Wrapped toy bracelet, girl
Time: 3: Elf David:     Placed toy bracelet, girl
Time: 4: Elf David:     Selected toy bracelet, boy
Time: 4: Elf David:     Wrapped toy bracelet, boy
Time: 5: Elf David:     Placed toy bracelet, boy
Time: 6: Elf David:     Selected toy whistle, boy
Time: 7: Elf David:     Wrapped toy whistle, boy
Time: 7: Elf David:     Placed toy whistle, boy
Time: 9: Elf David:     Selected toy fake tattoo, boy
Time: 9: Elf David:     Wrapped toy fake tattoo, boy
Time: 10: Elf David:     Placed toy fake tattoo, boy
Time: 11: Elf David:     Selected toy bracelet, boy
Time: 11: Elf David:     Wrapped toy bracelet, boy
Time: 12: Elf David:     Placed toy bracelet, boy
Time: 12: Elf David:     Selected toy doll, boy
Time: 13: Elf David:     Wrapped toy doll, boy
Time: 13: Elf David:     Placed toy doll, boy
Time: 13: Elf David:     Selected toy dinosaur, girl
Time: 14: Elf David:     Wrapped toy dinosaur, girl
Time: 15: Elf David:     Placed toy dinosaur, girl
Time: 16: Elf David:     Selected toy bracelet, boy
Time: 17: Elf David:     Wrapped toy bracelet, boy
Time: 17: Elf David:     Placed toy bracelet, boy
Time: 18: Elf David:     Selected toy train, girl
Time: 18: Elf David:     Wrapped toy train, girl
Time: 19: Elf David:     Placed toy train, girl
Time: 21: Elf David:     Selected toy train, girl
Time: 22: Elf David:     Wrapped toy train, girl
Time: 22: Elf David:     Placed toy train, girl
Time: 23: Elf David:     Selected toy fake tattoo, boy
Time: 23: Elf David:     Wrapped toy fake tattoo, boy
Time: 24: Elf David:     Placed toy fake tattoo, boy
Time: 26: Elf David:     Selected toy dinosaur, boy
Time: 27: Elf David:     Wrapped toy dinosaur, boy
Time: 27: Elf David:     Placed toy dinosaur, boy
Time: 28: Elf David:     Selected toy bracelet, boy
Time: 29: Elf David:     Wrapped toy bracelet, boy
Time: 30: Elf David:     Placed toy bracelet, boy
Time: 31: Elf David:     Selected toy dinosaur, boy
Time: 31: Elf David:     Wrapped toy dinosaur, boy
Time: 32: Elf David:     Placed toy dinosaur, boy
Time: 32: Elf David:     Selected toy whistle, boy
Time: 33: Elf David:     Wrapped toy whistle, boy
Time: 33: Elf David:     Placed toy whistle, boy
Time: 34: Elf David:     Selected toy whistle, girl
Time: 34: Elf David:     Wrapped toy whistle, girl
Time: 35: Elf David:     Placed toy whistle, girl
Time: 36: Elf David:     Selected toy doll, boy
Time: 36: Elf David:     Wrapped toy doll, boy
Time: 36: Elf David:     Placed toy doll, boy
Time: 38: Elf David:     Selected toy train, girl
Time: 38: Elf David:     Wrapped toy train, girl
Time: 38: Elf David:     Placed toy train, girl
Time: 39: Elf David:     Selected toy bracelet, girl
Time: 39: Elf David:     Wrapped toy bracelet, girl
Time: 40: Elf David:     Placed toy bracelet, girl
Time: 42: Elf David:     Selected toy train, girl
Time: 42: Elf David:     Wrapped toy train, girl
Time: 42: Elf David:     Placed toy train, girl
Time: 42: Elf David:     Selected toy bracelet, boy
Time: 43: Elf David:     Wrapped toy bracelet, boy
Time: 43: Elf David:     Placed toy bracelet, boy
Time: 44: Elf David:     Selected toy train, boy
Time: 45: Elf David:     Wrapped toy train, boy
Time: 46: Elf David:     Placed toy train, boy
Time: 46: Elf David:     Selected toy fake tattoo, boy
Time: 47: Elf David:     Wrapped toy fake tattoo, boy
Time: 48: Elf David:     Placed toy fake tattoo, boy
Time: 49: Elf David:     Selected toy fake tattoo, girl
Time: 49: Elf David:     Wrapped toy fake tattoo, girl
Time: 50: Elf David:     Placed toy fake tattoo, girl
Time: 51: Elf David:     Selected toy bracelet, boy
Time: 52: Elf David:     Wrapped toy bracelet, boy
Time: 53: Elf David:     Placed toy bracelet, boy
Time: 54: Elf David:     Selected toy bracelet, boy
Time: 55: Elf David:     Wrapped toy bracelet, boy
Time: 55: Elf David:     Placed toy bracelet, boy
Time: 55: Elf David:     Selected toy train, girl
Time: 55: Elf David:     Wrapped toy train, girl
Time: 56: Elf David:     Placed toy train, girl
Time: 57: Elf David:     Selected toy fake tattoo, girl
Time: 58: Elf David:     Wrapped toy fake tattoo, girl
Time: 59: Elf David:     Placed toy fake tattoo, girl
Time: 61: Elf David:     Selected toy whistle, boy
Time: 61: Elf David:     Wrapped toy whistle, boy
Time: 62: Elf David:     Placed toy whistle, boy
Time: 63: Elf David:     Selected toy whistle, boy
Time: 64: Elf David:     Wrapped toy whistle, boy
Time: 64: Elf David:     Placed toy whistle, boy
Time: 65: Elf David:     Selected toy fake tattoo, boy
Time: 66: Elf David:     Wrapped toy fake tattoo, boy
Time: 67: Elf David:     Placed toy fake tattoo, boy
Time: 67: Elf David:     Selected toy fake tattoo, girl
Time: 67: Elf David:     Wrapped toy fake tattoo, girl
Time: 68: Elf David:     Placed toy fake tattoo, girl
Time: 69: Elf David:     Selected toy whistle, boy
Time: 69: Elf David:     Wrapped toy whistle, boy
Time: 70: Elf David:     Placed toy whistle, boy
Time: 71: Elf David:     Selected toy whistle, girl
Time: 72: Elf David:     Wrapped toy whistle, girl
Time: 72: Elf David:     Placed toy whistle, girl
Time: 73: Elf David:     Selected toy bracelet, girl
Time: 74: Elf David:     Wrapped toy bracelet, girl
Time: 74: Elf David:     Placed toy bracelet, girl
Time: 76: Elf David:     Selected toy fake tattoo, boy
Time: 76: Elf David:     Wrapped toy fake tattoo, boy
Time: 77: Elf David:     Placed toy fake tattoo, boy
Time: 78: Elf David:     Selected toy dinosaur, boy
Time: 79: Elf David:     Wrapped toy dinosaur, boy
Time: 79: Elf David:     Placed toy dinosaur, boy
Time: 80: Elf David:     Selected toy dinosaur, girl
Time: 80: Elf David:     Wrapped toy dinosaur, girl
Time: 80: Elf David:     Placed toy dinosaur, girl
Time: 81: Elf David:     Selected toy doll, boy
Time: 81: Elf David:     Wrapped toy doll, boy
Time: 81: Elf David:     Placed toy doll, boy
Time: 83: Elf David:     Selected toy whistle, boy
Time: 84: Elf David:     Wrapped toy whistle, boy
Time: 84: Elf David:     Placed toy whistle, boy
Time: 85: Elf David:     Selected toy train, girl
Time: 85: Elf David:     Wrapped toy train, girl
Time: 86: Elf David:     Placed toy train, girl
Time: 86: Elf David:     Selected toy train, girl
Time: 86: Elf David:     Wrapped toy train, girl
Time: 86: Elf David:     Placed toy train, girl
Time: 88: Elf David:     Selected toy fake tattoo, boy
Time: 88: Elf David:     Wrapped toy fake tattoo, boy
Time: 88: Elf David:     Placed toy fake tattoo, boy
Time: 89: Elf David:     Selected toy fake tattoo, boy
Time: 90: Elf David:     Wrapped toy fake tattoo, boy
Time: 90: Elf David:     Placed toy fake tattoo, boy
Time: 92: Elf David:     Selected toy fake tattoo, boy
Time: 92: Elf David:     Wrapped toy fake tattoo, boy
Time: 92: Elf David:     Placed toy fake tattoo, boy
Time: 93: Elf David:     Selected toy doll, girl
Time: 93: Elf David:     Wrapped toy doll, girl
Time: 93: Elf David:     Placed toy doll, girl
Time: 95: Elf David:     Selected toy dinosaur, boy
Time: 96: Elf David:     Wrapped toy dinosaur, boy
Time: 96: Elf David:     Placed toy dinosaur, boy
Time: 98: Elf David:     Selected toy bracelet, girl
Time: 98: Elf David:     Wrapped toy bracelet, girl
Time: 98: Elf David:     Placed toy bracelet, girl
Time: 99: Elf David:     Selected toy fake tattoo, girl
Time: 99: Elf David:     Wrapped toy fake tattoo, girl
Time: 99: Elf David:     Placed toy fake tattoo, girl
Time: 101: Elf David:     Selected toy bracelet, girl
Time: 101: Elf David:     Wrapped toy bracelet, girl
Time: 102: Elf David:     Placed toy bracelet, girl
Time: 103: Elf David:     Selected toy whistle, boy
Time: 103: Elf David:     Wrapped toy whistle, boy
Time: 104: Elf David:     Placed toy whistle, boy
Time: 105: Elf David:     Selected toy bracelet, girl
Time: 105: Elf David:     Wrapped toy bracelet, girl
Time: 105: Elf David:     Placed toy bracelet, girl
Time: 106: Elf David:     Selected toy doll, girl
Time: 106: Elf David:     Wrapped toy doll, girl
Time: 106: Elf David:     Placed toy doll, girl
Time: 107: Elf David:     Selected toy dinosaur, girl
Time: 107: Elf David:     Wrapped toy dinosaur, girl
Time: 108: Elf David:     Placed toy dinosaur, girl
Time: 109: Elf David:     Selected toy bracelet, girl
Time: 109: Elf David:     Wrapped toy bracelet, girl
Time: 110: Elf David:     Placed toy bracelet, girl
Time: 111: Elf David:     Selected toy fake tattoo, boy
Time: 111: Elf David:     Wrapped toy fake tattoo, boy
Time: 111: Elf David:     Placed toy fake tattoo, boy
Time: 113: Elf David:     Selected toy train, girl
Time: 114: Elf David:     Wrapped toy train, girl
Time: 115: Elf David:     Placed toy train, girl
Time: 116: Elf David:     Selected toy train, girl
Time: 117: Elf David:     Wrapped toy train, girl
Time: 117: Elf David:     Placed toy train, girl
Time: 119: Elf David:     Selected toy train, girl
Time: 120: Elf David:     Wrapped toy train, girl
Time: 120: Elf David:     Placed toy train, girl
