Time: 2: Elf Garry:     Selected toy whistle, girl
Time: 3: Elf Garry:     Wrapped toy whistle, girl
Time: 3: Elf Garry:     Placed toy whistle, girl
Time: 4: Elf Garry:     Selected toy fake tattoo, boy
Time: 4: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 5: Elf Garry:     Placed toy fake tattoo, boy
Time: 6: Elf Garry:     Selected toy whistle, boy
Time: 7: Elf Garry:     Wrapped toy whistle, boy
Time: 7: Elf Garry:     Placed toy whistle, boy
Time: 8: Elf Garry:     Selected toy doll, boy
Time: 9: Elf Garry:     Wrapped toy doll, boy
Time: 9: Elf Garry:     Placed toy doll, boy
Time: 10: Elf Garry:     Selected toy whistle, girl
Time: 11: Elf Garry:     Wrapped toy whistle, girl
Time: 11: Elf Garry:     Placed toy whistle, girl
Time: 12: Elf Garry:     Selected toy doll, girl
Time: 13: Elf Garry:     Wrapped toy doll, girl
Time: 13: Elf Garry:     Placed toy doll, girl
Time: 14: Elf Garry:     Selected toy whistle, boy
Time: 15: Elf Garry:     Wrapped toy whistle, boy
Time: 15: Elf Garry:     Placed toy whistle, boy
Time: 16: Elf Garry:     Selected toy doll, boy
Time: 16: Elf Garry:     Wrapped toy doll, boy
Time: 17: Elf Garry:     Placed toy doll, boy
Time: 18: Elf Garry:     Selected toy whistle, girl
Time: 18: Elf Garry:     Wrapped toy whistle, girl
Time: 18: Elf Garry:     Placed toy whistle, girl
Time: 19: Elf Garry:     Selected toy fake tattoo, boy
Time: 19: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 20: Elf Garry:     Placed toy fake tattoo, boy
Time: 21: Elf Garry:     Selected toy doll, boy
Time: 21: Elf Garry:     Wrapped toy doll, boy
Time: 22: Elf Garry:     Placed toy doll, boy
Time: 23: Elf Garry:     Selected toy whistle, girl
Time: 24: Elf Garry:     Wrapped toy whistle, girl
Time: 24: Elf Garry:     Placed toy whistle, girl
Time: 25: Elf Garry:     Selected toy whistle, boy
Time: 25: Elf Garry:     Wrapped toy whistle, boy
Time: 26: Elf Garry:     Placed toy whistle, boy
Time: 26: Elf Garry:     Selected toy train, boy
Time: 27: Elf Garry:     Wrapped toy train, boy
Time: 27: Elf Garry:     Placed toy train, boy
Time: 28: Elf Garry:     Selected toy train, girl
Time: 28: Elf Garry:     Wrapped toy train, girl
Time: 28: Elf Garry:     Placed toy train, girl
Time: 29: Elf Garry:     Selected toy train, boy
Time: 29: Elf Garry:     Wrapped toy train, boy
Time: 30: Elf Garry:     Placed toy train, boy
Time: 31: Elf Garry:     Selected toy fake tattoo, girl
Time: 31: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 32: Elf Garry:     Placed toy fake tattoo, girl
Time: 33: Elf Garry:     Selected toy dinosaur, boy
Time: 34: Elf Garry:     Wrapped toy dinosaur, boy
Time: 35: Elf Garry:     Placed toy dinosaur, boy
Time: 36: Elf Garry:     Selected toy dinosaur, boy
Time: 36: Elf Garry:     Wrapped toy dinosaur, boy
Time: 37: Elf Garry:     Placed toy dinosaur, boy
Time: 38: Elf Garry:     Selected toy dinosaur, girl
Time: 38: Elf Garry:     Wrapped toy dinosaur, girl
Time: 39: Elf Garry:     Placed toy dinosaur, girl
Time: 39: Elf Garry:     Selected toy whistle, girl
Time: 40: Elf Garry:     Wrapped toy whistle, girl
Time: 40: Elf Garry:     Placed toy whistle, girl
Time: 42: Elf Garry:     Selected toy fake tattoo, girl
Time: 42: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 43: Elf Garry:     Placed toy fake tattoo, girl
Time: 44: Elf Garry:     Selected toy dinosaur, boy
Time: 44: Elf Garry:     Wrapped toy dinosaur, boy
Time: 45: Elf Garry:     Placed toy dinosaur, boy
Time: 46: Elf Garry:     Selected toy doll, boy
Time: 46: Elf Garry:     Wrapped toy doll, boy
Time: 47: Elf Garry:     Placed toy doll, boy
Time: 48: Elf Garry:     Selected toy dinosaur, boy
Time: 49: Elf Garry:     Wrapped toy dinosaur, boy
Time: 49: Elf Garry:     Placed toy dinosaur, boy
Time: 50: Elf Garry:     Selected toy doll, girl
Time: 51: Elf Garry:     Wrapped toy doll, girl
Time: 52: Elf Garry:     Placed toy doll, girl
Time: 53: Elf Garry:     Selected toy fake tattoo, boy
Time: 53: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 54: Elf Garry:     Placed toy fake tattoo, boy
Time: 55: Elf Garry:     Selected toy fake tattoo, girl
Time: 55: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 56: Elf Garry:     Placed toy fake tattoo, girl
Time: 58: Elf Garry:     Selected toy train, boy
Time: 59: Elf Garry:     Wrapped toy train, boy
Time: 59: Elf Garry:     Placed toy train, boy
Time: 60: Elf Garry:     Selected toy bracelet, boy
Time: 60: Elf Garry:     Wrapped toy bracelet, boy
Time: 60: Elf Garry:     Placed toy bracelet, boy
Time: 62: Elf Garry:     Selected toy whistle, girl
Time: 62: Elf Garry:     Wrapped toy whistle, girl
Time: 62: Elf Garry:     Placed toy whistle, girl
Time: 63: Elf Garry:     Selected toy whistle, girl
Time: 64: Elf Garry:     Wrapped toy whistle, girl
Time: 64: Elf Garry:     Placed toy whistle, girl
Time: 64: Elf Garry:     Selected toy fake tattoo, boy
Time: 65: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 65: Elf Garry:     Placed toy fake tattoo, boy
Time: 67: Elf Garry:     Selected toy dinosaur, girl
Time: 67: Elf Garry:     Wrapped toy dinosaur, girl
Time: 67: Elf Garry:     Placed toy dinosaur, girl
Time: 68: Elf Garry:     Selected toy doll, boy
Time: 68: Elf Garry:     Wrapped toy doll, boy
Time: 68: Elf Garry:     Placed toy doll, boy
Time: 69: Elf Garry:     Selected toy bracelet, boy
Time: 70: Elf Garry:     Wrapped toy bracelet, boy
Time: 70: Elf Garry:     Placed toy bracelet, boy
Time: 71: Elf Garry:     Selected toy fake tattoo, boy
Time: 71: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 72: Elf Garry:     Placed toy fake tattoo, boy
Time: 73: Elf Garry:     Selected toy whistle, boy
Time: 73: Elf Garry:     Wrapped toy whistle, boy
Time: 74: Elf Garry:     Placed toy whistle, boy
Time: 75: Elf Garry:     Selected toy fake tattoo, girl
Time: 75: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 76: Elf Garry:     Placed toy fake tattoo, girl
Time: 77: Elf Garry:     Selected toy train, girl
Time: 78: Elf Garry:     Wrapped toy train, girl
Time: 78: Elf Garry:     Placed toy train, girl
Time: 79: Elf Garry:     Selected toy doll, boy
Time: 79: Elf Garry:     Wrapped toy doll, boy
Time: 79: Elf Garry:     Placed toy doll, boy
Time: 80: Elf Garry:     Selected toy bracelet, boy
Time: 81: Elf Garry:     Wrapped toy bracelet, boy
Time: 81: Elf Garry:     Placed toy bracelet, boy
Time: 81: Elf Garry:     Selected toy doll, boy
Time: 82: Elf Garry:     Wrapped toy doll, boy
Time: 83: Elf Garry:     Placed toy doll, boy
Time: 83: Elf Garry:     Selected toy dinosaur, boy
Time: 84: Elf Garry:     Wrapped toy dinosaur, boy
Time: 84: Elf Garry:     Placed toy dinosaur, boy
Time: 86: Elf Garry:     Selected toy bracelet, boy
Time: 86: Elf Garry:     Wrapped toy bracelet, boy
Time: 87: Elf Garry:     Placed toy bracelet, boy
Time: 88: Elf Garry:     Selected toy train, girl
Time: 89: Elf Garry:     Wrapped toy train, girl
Time: 90: Elf Garry:     Placed toy train, girl
Time: 92: Elf Garry:     Selected toy doll, boy
Time: 92: Elf Garry:     Wrapped toy doll, boy
Time: 93: Elf Garry:     Placed toy doll, boy
Time: 95: Elf Garry:     Selected toy fake tattoo, girl
Time: 95: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 96: Elf Garry:     Placed toy fake tattoo, girl
Time: 96: Elf Garry:     Selected toy doll, boy
Time: 97: Elf Garry:     Wrapped toy doll, boy
Time: 97: Elf Garry:     Placed toy doll, boy
Time: 98: Elf Garry:     Selected toy train, girl
Time: 99: Elf Garry:     Wrapped toy train, girl
Time: 99: Elf Garry:     Placed toy train, girl
Time: 101: Elf Garry:     Selected toy train, girl
Time: 101: Elf Garry:     Wrapped toy train, girl
Time: 102: Elf Garry:     Placed toy train, girl
Time: 102: Elf Garry:     Selected toy fake tattoo, girl
Time: 102: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 103: Elf Garry:     Placed toy fake tattoo, girl
Time: 104: Elf Garry:     Selected toy dinosaur, boy
Time: 104: Elf Garry:     Wrapped toy dinosaur, boy
Time: 104: Elf Garry:     Placed toy dinosaur, boy
Time: 105: Elf Garry:     Selected toy dinosaur, girl
Time: 106: Elf Garry:     Wrapped toy dinosaur, girl
Time: 106: Elf Garry:     Placed toy dinosaur, girl
Time: 107: Elf Garry:     Selected toy whistle, boy
Time: 107: Elf Garry:     Wrapped toy whistle, boy
Time: 108: Elf Garry:     Placed toy whistle, boy
Time: 109: Elf Garry:     Selected toy dinosaur, boy
Time: 109: Elf Garry:     Wrapped toy dinosaur, boy
Time: 110: Elf Garry:     Placed toy dinosaur, boy
Time: 110: Elf Garry:     Selected toy doll, boy
Time: 111: Elf Garry:     Wrapped toy doll, boy
Time: 112: Elf Garry:     Placed toy doll, boy
Time: 113: Elf Garry:     Selected toy whistle, boy
Time: 113: Elf Garry:     Wrapped toy whistle, boy
Time: 114: Elf Garry:     Placed toy whistle, boy
Time: 115: Elf Garry:     Selected toy dinosaur, boy
Time: 116: Elf Garry:     Wrapped toy dinosaur, boy
Time: 116: Elf Garry:     Placed toy dinosaur, boy
Time: 118: Elf Garry:     Selected toy fake tattoo, girl
Time: 118: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 119: Elf Garry:     Placed toy fake tattoo, girl
Time: 120: Elf Garry:     Selected toy dinosaur, girl
Time: 120: Elf Garry:     Wrapped toy dinosaur, girl
Time: 121: Elf Garry:     Placed toy dinosaur, girl
Time: 122: Elf Garry:     Selected toy dinosaur, boy
Time: 122: Elf Garry:     Wrapped toy dinosaur, boy
Time: 122: Elf Garry:     Placed toy dinosaur, boy
Time: 124: Elf Garry:     Selected toy fake tattoo, boy
Time: 124: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 124: Elf Garry:     Placed toy fake tattoo, boy
Time: 126: Elf Garry:     Selected toy train, girl
Time: 126: Elf Garry:     Wrapped toy train, girl
Time: 126: Elf Garry:     Placed toy train, girl
Time: 127: Elf Garry:     Selected toy whistle, girl
Time: 127: Elf Garry:     Wrapped toy whistle, girl
Time: 128: Elf Garry:     Placed toy whistle, girl
Time: 129: Elf Garry:     Selected toy doll, girl
Time: 130: Elf Garry:     Wrapped toy doll, girl
Time: 130: Elf Garry:     Placed toy doll, girl
Time: 132: Elf Garry:     Selected toy whistle, girl
Time: 132: Elf Garry:     Wrapped toy whistle, girl
Time: 132: Elf Garry:     Placed toy whistle, girl
Time: 134: Elf Garry:     Selected toy fake tattoo, girl
Time: 134: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 135: Elf Garry:     Placed toy fake tattoo, girl
Time: 135: Elf Garry:     Selected toy whistle, girl
Time: 135: Elf Garry:     Wrapped toy whistle, girl
Time: 136: Elf Garry:     Placed toy whistle, girl
Time: 137: Elf Garry:     Selected toy bracelet, girl
Time: 138: Elf Garry:     Wrapped toy bracelet, girl
Time: 139: Elf Garry:     Placed toy bracelet, girl
Time: 140: Elf Garry:     Selected toy fake tattoo, girl
Time: 141: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 142: Elf Garry:     Placed toy fake tattoo, girl
Time: 143: Elf Garry:     Selected toy whistle, boy
Time: 144: Elf Garry:     Wrapped toy whistle, boy
Time: 144: Elf Garry:     Placed toy whistle, boy
Time: 145: Elf Garry:     Selected toy fake tattoo, girl
Time: 146: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 146: Elf Garry:     Placed toy fake tattoo, girl
Time: 147: Elf Garry:     Selected toy fake tattoo, boy
Time: 148: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 148: Elf Garry:     Placed toy fake tattoo, boy
Time: 149: Elf Garry:     Selected toy train, boy
Time: 150: Elf Garry:     Wrapped toy train, boy
Time: 150: Elf Garry:     Placed toy train, boy
Time: 150: Elf Garry:     Selected toy bracelet, boy
Time: 151: Elf Garry:     Wrapped toy bracelet, boy
Time: 151: Elf Garry:     Placed toy bracelet, boy
Time: 152: Elf Garry:     Selected toy whistle, boy
Time: 153: Elf Garry:     Wrapped toy whistle, boy
Time: 154: Elf Garry:     Placed toy whistle, boy
Time: 155: Elf Garry:     Selected toy whistle, girl
Time: 155: Elf Garry:     Wrapped toy whistle, girl
Time: 155: Elf Garry:     Placed toy whistle, girl
Time: 156: Elf Garry:     Selected toy doll, boy
Time: 156: Elf Garry:     Wrapped toy doll, boy
Time: 157: Elf Garry:     Placed toy doll, boy
Time: 158: Elf Garry:     Selected toy train, girl
Time: 159: Elf Garry:     Wrapped toy train, girl
Time: 160: Elf Garry:     Placed toy train, girl
Time: 161: Elf Garry:     Selected toy whistle, girl
Time: 162: Elf Garry:     Wrapped toy whistle, girl
Time: 163: Elf Garry:     Placed toy whistle, girl
Time: 163: Elf Garry:     Selected toy dinosaur, girl
Time: 163: Elf Garry:     Wrapped toy dinosaur, girl
Time: 164: Elf Garry:     Placed toy dinosaur, girl
Time: 166: Elf Garry:     Selected toy whistle, girl
Time: 166: Elf Garry:     Wrapped toy whistle, girl
Time: 166: Elf Garry:     Placed toy whistle, girl
Time: 167: Elf Garry:     Selected toy dinosaur, girl
Time: 167: Elf Garry:     Wrapped toy dinosaur, girl
Time: 167: Elf Garry:     Placed toy dinosaur, girl
Time: 168: Elf Garry:     Selected toy bracelet, girl
Time: 168: Elf Garry:     Wrapped toy bracelet, girl
Time: 169: Elf Garry:     Placed toy bracelet, girl
Time: 171: Elf Garry:     Selected toy dinosaur, boy
Time: 171: Elf Garry:     Wrapped toy dinosaur, boy
Time: 171: Elf Garry:     Placed toy dinosaur, boy
Time: 172: Elf Garry:     Selected toy doll, girl
Time: 173: Elf Garry:     Wrapped toy doll, girl
Time: 173: Elf Garry:     Placed toy doll, girl
Time: 174: Elf Garry:     Selected toy train, girl
Time: 174: Elf Garry:     Wrapped toy train, girl
Time: 174: Elf Garry:     Placed toy train, girl
Time: 175: Elf Garry:     Selected toy train, boy
Time: 176: Elf Garry:     Wrapped toy train, boy
Time: 177: Elf Garry:     Placed toy train, boy
Time: 178: Elf Garry:     Selected toy bracelet, girl
Time: 179: Elf Garry:     Wrapped toy bracelet, girl
Time: 180: Elf Garry:     Placed toy bracelet, girl
Time: 182: Elf Garry:     Selected toy doll, girl
Time: 182: Elf Garry:     Wrapped toy doll, girl
Time: 183: Elf Garry:     Placed toy doll, girl
Time: 184: Elf Garry:     Selected toy whistle, boy
Time: 184: Elf Garry:     Wrapped toy whistle, boy
Time: 184: Elf Garry:     Placed toy whistle, boy
Time: 185: Elf Garry:     Selected toy bracelet, boy
Time: 186: Elf Garry:     Wrapped toy bracelet, boy
Time: 186: Elf Garry:     Placed toy bracelet, boy
Time: 188: Elf Garry:     Selected toy dinosaur, girl
Time: 189: Elf Garry:     Wrapped toy dinosaur, girl
Time: 190: Elf Garry:     Placed toy dinosaur, girl
Time: 191: Elf Garry:     Selected toy bracelet, boy
Time: 192: Elf Garry:     Wrapped toy bracelet, boy
Time: 193: Elf Garry:     Placed toy bracelet, boy
Time: 193: Elf Garry:     Selected toy whistle, boy
Time: 194: Elf Garry:     Wrapped toy whistle, boy
Time: 194: Elf Garry:     Placed toy whistle, boy
Time: 195: Elf Garry:     Selected toy train, girl
Time: 195: Elf Garry:     Wrapped toy train, girl
Time: 195: Elf Garry:     Placed toy train, girl
Time: 196: Elf Garry:     Selected toy fake tattoo, girl
Time: 196: Elf Garry:     Wrapped toy fake tattoo, girl
