Time: 2: Elf Tom:     Selected toy dinosaur, boy
Time: 2: Elf Tom:     Wrapped toy dinosaur, boy
Time: 2: Elf Tom:     Placed toy dinosaur, boy
Time: 3: Elf Tom:     Selected toy whistle, boy
Time: 3: Elf Tom:     Wrapped toy whistle, boy
Time: 4: Elf Tom:     Placed toy whistle, boy
Time: 4: Elf Tom:     Selected toy train, girl
Time: 5: Elf Tom:     Wrapped toy train, girl
Time: 5: Elf Tom:     Placed toy train, girl
Time: 7: Elf Tom:     Selected toy train, boy
Time: 7: Elf Tom:     Wrapped toy train, boy
Time: 8: Elf Tom:     Placed toy train, boy
Time: 8: Elf Tom:     Selected toy doll, girl
Time: 9: Elf Tom:     Wrapped toy doll, girl
Time: 9: Elf Tom:     Placed toy doll, girl
Time: 10: Elf Tom:     Selected toy fake tattoo, boy
Time: 10: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 10: Elf Tom:     Placed toy fake tattoo, boy
Time: 11: Elf Tom:     Selected toy whistle, boy
Time: 12: Elf Tom:     Wrapped toy whistle, boy
Time: 12: Elf Tom:     Placed toy whistle, boy
Time: 14: Elf Tom:     Selected toy dinosaur, boy
Time: 14: Elf Tom:     Wrapped toy dinosaur, boy
Time: 15: Elf Tom:     Placed toy dinosaur, boy
Time: 16: Elf Tom:     Selected toy fake tattoo, boy
Time: 16: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 17: Elf Tom:     Placed toy fake tattoo, boy
Time: 18: Elf Tom:     Selected toy train, boy
Time: 19: Elf Tom:     Wrapped toy train, boy
Time: 19: Elf Tom:     Placed toy train, boy
Time: 20: Elf Tom:     Selected toy doll, girl
Time: 21: Elf Tom:     Wrapped toy doll, girl
Time: 22: Elf Tom:     Placed toy doll, girl
Time: 22: Elf Tom:     Selected toy dinosaur, girl
Time: 23: Elf Tom:     Wrapped toy dinosaur, girl
Time: 23: Elf Tom:     Placed toy dinosaur, girl
Time: 24: Elf Tom:     Selected toy train, boy
Time: 25: Elf Tom:     Wrapped toy train, boy
Time: 26: Elf Tom:     Placed toy train, boy
Time: 27: Elf Tom:     Selected toy bracelet, girl
Time: 27: Elf Tom:     Wrapped toy bracelet, girl
Time: 28: Elf Tom:     Placed toy bracelet, girl
Time: 29: Elf Tom:     Selected toy whistle, boy
Time: 30: Elf Tom:     Wrapped toy whistle, boy
Time: 30: Elf Tom:     Placed toy whistle, boy
Time: 31: Elf Tom:     Selected toy dinosaur, boy
Time: 31: Elf Tom:     Wrapped toy dinosaur, boy
Time: 32: Elf Tom:     Placed toy dinosaur, boy
Time: 32: Elf Tom:     Selected toy whistle, boy
Time: 33: Elf Tom:     Wrapped toy whistle, boy
Time: 33: Elf Tom:     Placed toy whistle, boy
Time: 34: Elf Tom:     Selected toy train, boy
Time: 34: Elf Tom:     Wrapped toy train, boy
Time: 35: Elf Tom:     Placed toy train, boy
Time: 35: Elf Tom:     Selected toy fake tattoo, girl
Time: 36: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 36: Elf Tom:     Placed toy fake tattoo, girl
Time: 37: Elf Tom:     Selected toy bracelet, boy
Time: 37: Elf Tom:     Wrapped toy bracelet, boy
Time: 38: Elf Tom:     Placed toy bracelet, boy
