Time: 2 :  Santa Barry  Walking to toy department
Time  3 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  4 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  5 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  5 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  6 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  7 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  7 :  Santa Barry  retrieving from sleigh: train boy
Time  9 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  11 :  Santa Barry  retrieving from sleigh: whistle girl
Time  11 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  12 :  Santa Barry  Walking back to grotto
Time  12 :  Santa Barry  giving to children: dinosaur boy
Time  13 :  Santa Barry  giving to children: bracelet boy
Time  13 :  Santa Barry  giving to children: fake tattoo boy
Time  13 :  Santa Barry  giving to children: bracelet boy
Time  14 :  Santa Barry  giving to children: fake tattoo boy
Time  14 :  Santa Barry  giving to children: fake tattoo boy
Time  14 :  Santa Barry  giving to children: train boy
Time  15 :  Santa Barry  giving to children: fake tattoo boy
Time  15 :  Santa Barry  giving to children: whistle girl
Time  16 :  Santa Barry  giving to children: bracelet boy
Time: 17 :  Santa Barry  Walking to toy department
Time  17 :  Santa Barry  retrieving from sleigh: doll boy
Time  17 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  17 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  17 :  Santa Barry  retrieving from sleigh: whistle boy
Time  17 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  17 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  17 :  Santa Barry  retrieving from sleigh: doll boy
Time  17 :  Santa Barry  retrieving from sleigh: whistle boy
Time  17 :  Santa Barry  retrieving from sleigh: whistle boy
Time  17 :  Santa Barry  retrieving from sleigh: doll boy
Time  18 :  Santa Barry  Walking back to grotto
Time  18 :  Santa Barry  giving to children: doll boy
Time  19 :  Santa Barry  giving to children: bracelet boy
Time  19 :  Santa Barry  giving to children: fake tattoo boy
Time  20 :  Santa Barry  giving to children: whistle boy
Time  20 :  Santa Barry  giving to children: bracelet girl
Time  21 :  Santa Barry  giving to children: bracelet boy
Time  22 :  Santa Barry  giving to children: doll boy
Time  22 :  Santa Barry  giving to children: whistle boy
Time  23 :  Santa Barry  giving to children: whistle boy
Time  23 :  Santa Barry  giving to children: doll boy
Time: 24 :  Santa Barry  Walking to toy department
Time  24 :  Santa Barry  retrieving from sleigh: train boy
Time  24 :  Santa Barry  retrieving from sleigh: whistle girl
Time  24 :  Santa Barry  retrieving from sleigh: train boy
Time  24 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  24 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  24 :  Santa Barry  retrieving from sleigh: train boy
Time  24 :  Santa Barry  retrieving from sleigh: train boy
Time  25 :  Santa Barry  retrieving from sleigh: doll boy
Time  25 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  26 :  Santa Barry  retrieving from sleigh: whistle boy
Time  27 :  Santa Barry  Walking back to grotto
Time  27 :  Santa Barry  giving to children: train boy
Time  28 :  Santa Barry  giving to children: whistle girl
Time  28 :  Santa Barry  giving to children: train boy
Time  28 :  Santa Barry  giving to children: fake tattoo boy
Time  28 :  Santa Barry  giving to children: bracelet girl
Time  29 :  Santa Barry  giving to children: train boy
Time  29 :  Santa Barry  giving to children: train boy
Time  29 :  Santa Barry  giving to children: doll boy
Time  29 :  Santa Barry  giving to children: fake tattoo girl
Time  30 :  Santa Barry  giving to children: whistle boy
Time: 31 :  Santa Barry  Walking to toy department
Time  32 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  32 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  33 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  33 :  Santa Barry  retrieving from sleigh: whistle boy
Time  33 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  34 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  35 :  Santa Barry  retrieving from sleigh: train boy
Time  35 :  Santa Barry  retrieving from sleigh: whistle boy
Time  35 :  Santa Barry  retrieving from sleigh: whistle girl
Time  35 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  36 :  Santa Barry  Walking back to grotto
Time  36 :  Santa Barry  giving to children: dinosaur boy
Time  36 :  Santa Barry  giving to children: dinosaur boy
Time  36 :  Santa Barry  giving to children: fake tattoo girl
Time  37 :  Santa Barry  giving to children: whistle boy
Time  37 :  Santa Barry  giving to children: dinosaur boy
Time  37 :  Santa Barry  giving to children: dinosaur girl
Time  38 :  Santa Barry  giving to children: train boy
Time  39 :  Santa Barry  giving to children: whistle boy
Time  39 :  Santa Barry  giving to children: whistle girl
Time  39 :  Santa Barry  giving to children: dinosaur boy
Time: 40 :  Santa Barry  Walking to toy department
Time  40 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  40 :  Santa Barry  retrieving from sleigh: whistle boy
Time  40 :  Santa Barry  retrieving from sleigh: whistle boy
Time  40 :  Santa Barry  retrieving from sleigh: doll girl
Time  40 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  40 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  40 :  Santa Barry  retrieving from sleigh: whistle girl
Time  41 :  Santa Barry  retrieving from sleigh: whistle boy
Time  41 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  42 :  Santa Barry  retrieving from sleigh: train girl
Time  43 :  Santa Barry  Walking back to grotto
Time  44 :  Santa Barry  giving to children: dinosaur girl
Time  44 :  Santa Barry  giving to children: whistle boy
Time  45 :  Santa Barry  giving to children: whistle boy
Time  46 :  Santa Barry  giving to children: doll girl
Time  46 :  Santa Barry  giving to children: bracelet girl
Time  46 :  Santa Barry  giving to children: dinosaur girl
Time  46 :  Santa Barry  giving to children: whistle girl
Time  47 :  Santa Barry  giving to children: whistle boy
Time  47 :  Santa Barry  giving to children: dinosaur girl
Time  48 :  Santa Barry  giving to children: train girl
Time: 49 :  Santa Barry  Walking to toy department
Time  49 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  49 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  49 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  50 :  Santa Barry  retrieving from sleigh: train boy
Time  50 :  Santa Barry  retrieving from sleigh: doll boy
Time  51 :  Santa Barry  retrieving from sleigh: train boy
Time  51 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  51 :  Santa Barry  retrieving from sleigh: doll girl
Time  52 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  52 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  53 :  Santa Barry  Walking back to grotto
Time  54 :  Santa Barry  giving to children: dinosaur boy
Time  54 :  Santa Barry  giving to children: bracelet boy
Time  55 :  Santa Barry  giving to children: fake tattoo girl
Time  55 :  Santa Barry  giving to children: train boy
Time  56 :  Santa Barry  giving to children: doll boy
Time  57 :  Santa Barry  giving to children: train boy
Time  57 :  Santa Barry  giving to children: dinosaur boy
Time  58 :  Santa Barry  giving to children: doll girl
Time  58 :  Santa Barry  giving to children: bracelet boy
Time  59 :  Santa Barry  giving to children: fake tattoo girl
Time: 60 :  Santa Barry  Walking to toy department
Time  60 :  Santa Barry  retrieving from sleigh: doll boy
Time  60 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  60 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  60 :  Santa Barry  retrieving from sleigh: doll boy
Time  61 :  Santa Barry  retrieving from sleigh: whistle boy
Time  61 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  62 :  Santa Barry  retrieving from sleigh: train boy
Time  62 :  Santa Barry  retrieving from sleigh: whistle boy
Time  64 :  Santa Barry  retrieving from sleigh: whistle girl
Time  64 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  65 :  Santa Barry  Walking back to grotto
Time  65 :  Santa Barry  giving to children: doll boy
Time  66 :  Santa Barry  giving to children: bracelet girl
Time  66 :  Santa Barry  giving to children: bracelet boy
Time  67 :  Santa Barry  giving to children: doll boy
Time  67 :  Santa Barry  giving to children: whistle boy
Time  68 :  Santa Barry  giving to children: dinosaur girl
Time  69 :  Santa Barry  giving to children: train boy
Time  69 :  Santa Barry  giving to children: whistle boy
Time  70 :  Santa Barry  giving to children: whistle girl
Time  71 :  Santa Barry  giving to children: fake tattoo girl
Time: 72 :  Santa Barry  Walking to toy department
Time  73 :  Santa Barry  retrieving from sleigh: train girl
Time  73 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  74 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  74 :  Santa Barry  retrieving from sleigh: doll boy
Time  74 :  Santa Barry  retrieving from sleigh: whistle boy
Time  74 :  Santa Barry  retrieving from sleigh: whistle boy
Time  74 :  Santa Barry  retrieving from sleigh: train girl
Time  75 :  Santa Barry  retrieving from sleigh: train girl
Time  76 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  76 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  77 :  Santa Barry  Walking back to grotto
Time  78 :  Santa Barry  giving to children: train girl
Time  79 :  Santa Barry  giving to children: bracelet boy
Time  79 :  Santa Barry  giving to children: bracelet girl
Time  80 :  Santa Barry  giving to children: doll boy
Time  81 :  Santa Barry  giving to children: whistle boy
Time  82 :  Santa Barry  giving to children: whistle boy
Time  82 :  Santa Barry  giving to children: train girl
Time  82 :  Santa Barry  giving to children: train girl
Time  82 :  Santa Barry  giving to children: fake tattoo girl
Time  83 :  Santa Barry  giving to children: fake tattoo boy
Time: 84 :  Santa Barry  Walking to toy department
Time  84 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  84 :  Santa Barry  retrieving from sleigh: whistle boy
Time  84 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  84 :  Santa Barry  retrieving from sleigh: train boy
Time  84 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  84 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  84 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  84 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  85 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  86 :  Santa Barry  retrieving from sleigh: doll girl
Time  87 :  Santa Barry  Walking back to grotto
Time  87 :  Santa Barry  giving to children: dinosaur boy
Time  87 :  Santa Barry  giving to children: whistle boy
Time  88 :  Santa Barry  giving to children: dinosaur boy
Time  89 :  Santa Barry  giving to children: train boy
Time  89 :  Santa Barry  giving to children: fake tattoo girl
Time  89 :  Santa Barry  giving to children: dinosaur boy
Time  90 :  Santa Barry  giving to children: dinosaur boy
Time  90 :  Santa Barry  giving to children: dinosaur boy
Time  91 :  Santa Barry  giving to children: fake tattoo boy
Time  91 :  Santa Barry  giving to children: doll girl
Time: 92 :  Santa Barry  Walking to toy department
Time  92 :  Santa Barry  retrieving from sleigh: train boy
Time  93 :  Santa Barry  retrieving from sleigh: doll girl
Time  93 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  93 :  Santa Barry  retrieving from sleigh: doll boy
Time  93 :  Santa Barry  retrieving from sleigh: doll boy
