Time: 2 :  Santa John  Walking to toy department
Time  3 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  4 :  Santa John  retrieving from sleigh: bracelet boy
Time  6 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  7 :  Santa John  retrieving from sleigh: doll girl
Time  10 :  Santa John  retrieving from sleigh: dinosaur girl
Time  10 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  12 :  Santa John  retrieving from sleigh: train girl
Time  12 :  Santa John  retrieving from sleigh: dinosaur girl
Time  13 :  Santa John  retrieving from sleigh: whistle boy
Time  13 :  Santa John  retrieving from sleigh: train girl
Time  14 :  Santa John  Walking back to grotto
Time  14 :  Santa John  giving to children: fake tattoo girl
Time  14 :  Santa John  giving to children: bracelet boy
Time  15 :  Santa John  giving to children: fake tattoo boy
Time  15 :  Santa John  giving to children: doll girl
Time  15 :  Santa John  giving to children: dinosaur girl
Time  16 :  Santa John  giving to children: fake tattoo boy
Time  16 :  Santa John  giving to children: train girl
Time  17 :  Santa John  giving to children: dinosaur girl
Time  17 :  Santa John  giving to children: whistle boy
Time  17 :  Santa John  giving to children: train girl
Time: 18 :  Santa John  Walking to toy department
Time  18 :  Santa John  retrieving from sleigh: doll girl
Time  19 :  Santa John  retrieving from sleigh: train boy
Time  19 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  20 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  21 :  Santa John  retrieving from sleigh: train boy
Time  21 :  Santa John  retrieving from sleigh: train girl
Time  22 :  Santa John  retrieving from sleigh: whistle girl
Time  22 :  Santa John  retrieving from sleigh: doll boy
Time  22 :  Santa John  retrieving from sleigh: whistle girl
Time  22 :  Santa John  retrieving from sleigh: whistle boy
Time  23 :  Santa John  Walking back to grotto
Time  23 :  Santa John  giving to children: doll girl
Time  24 :  Santa John  giving to children: train boy
Time  24 :  Santa John  giving to children: fake tattoo boy
Time  25 :  Santa John  giving to children: fake tattoo boy
Time  26 :  Santa John  giving to children: train boy
Time  26 :  Santa John  giving to children: train girl
Time  27 :  Santa John  giving to children: whistle girl
Time  27 :  Santa John  giving to children: doll boy
Time  28 :  Santa John  giving to children: whistle girl
Time  28 :  Santa John  giving to children: whistle boy
Time: 29 :  Santa John  Walking to toy department
Time  29 :  Santa John  retrieving from sleigh: whistle girl
Time  30 :  Santa John  retrieving from sleigh: whistle boy
Time  30 :  Santa John  retrieving from sleigh: train boy
Time  30 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  30 :  Santa John  retrieving from sleigh: train boy
Time  30 :  Santa John  retrieving from sleigh: whistle girl
Time  31 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  32 :  Santa John  retrieving from sleigh: train boy
Time  33 :  Santa John  retrieving from sleigh: dinosaur girl
Time  33 :  Santa John  retrieving from sleigh: whistle boy
Time  34 :  Santa John  Walking back to grotto
Time  35 :  Santa John  giving to children: whistle girl
Time  35 :  Santa John  giving to children: whistle boy
Time  36 :  Santa John  giving to children: train boy
Time  37 :  Santa John  giving to children: fake tattoo girl
Time  37 :  Santa John  giving to children: train boy
Time  38 :  Santa John  giving to children: whistle girl
Time  38 :  Santa John  giving to children: fake tattoo girl
Time  39 :  Santa John  giving to children: train boy
Time  40 :  Santa John  giving to children: dinosaur girl
Time  40 :  Santa John  giving to children: whistle boy
Time: 41 :  Santa John  Walking to toy department
Time  42 :  Santa John  retrieving from sleigh: train girl
Time  42 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  42 :  Santa John  retrieving from sleigh: doll girl
Time  43 :  Santa John  retrieving from sleigh: train girl
Time  43 :  Santa John  retrieving from sleigh: bracelet boy
Time  44 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  44 :  Santa John  retrieving from sleigh: train boy
Time  44 :  Santa John  retrieving from sleigh: bracelet girl
Time  45 :  Santa John  retrieving from sleigh: dinosaur boy
Time  45 :  Santa John  retrieving from sleigh: train boy
Time  46 :  Santa John  Walking back to grotto
Time  47 :  Santa John  giving to children: train girl
Time  48 :  Santa John  giving to children: fake tattoo girl
Time  49 :  Santa John  giving to children: doll girl
Time  49 :  Santa John  giving to children: train girl
Time  50 :  Santa John  giving to children: bracelet boy
Time  50 :  Santa John  giving to children: fake tattoo boy
Time  50 :  Santa John  giving to children: train boy
Time  51 :  Santa John  giving to children: bracelet girl
Time  51 :  Santa John  giving to children: dinosaur boy
Time  52 :  Santa John  giving to children: train boy
