Time: 2 :  Santa Nick  Walking to toy department
Time  3 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  4 :  Santa Nick  retrieving from sleigh: whistle girl
Time  5 :  Santa Nick  retrieving from sleigh: train girl
Time  6 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  8 :  Santa Nick  retrieving from sleigh: train girl
Time  8 :  Santa Nick  retrieving from sleigh: whistle boy
Time  9 :  Santa Nick  retrieving from sleigh: doll boy
Time  9 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  10 :  Santa Nick  retrieving from sleigh: doll girl
Time  10 :  Santa Nick  retrieving from sleigh: train girl
Time  11 :  Santa Nick  Walking back to grotto
Time  11 :  Santa Nick  giving to children: bracelet girl
Time  11 :  Santa Nick  giving to children: whistle girl
Time  12 :  Santa Nick  giving to children: train girl
Time  13 :  Santa Nick  giving to children: bracelet boy
Time  14 :  Santa Nick  giving to children: train girl
Time  14 :  Santa Nick  giving to children: whistle boy
Time  15 :  Santa Nick  giving to children: doll boy
Time  15 :  Santa Nick  giving to children: fake tattoo boy
Time  15 :  Santa Nick  giving to children: doll girl
Time  16 :  Santa Nick  giving to children: train girl
Time: 17 :  Santa Nick  Walking to toy department
Time  17 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  17 :  Santa Nick  retrieving from sleigh: whistle boy
Time  17 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  17 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  17 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  18 :  Santa Nick  retrieving from sleigh: whistle girl
Time  18 :  Santa Nick  retrieving from sleigh: train girl
Time  19 :  Santa Nick  retrieving from sleigh: train boy
Time  20 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  21 :  Santa Nick  retrieving from sleigh: doll girl
Time  22 :  Santa Nick  Walking back to grotto
Time  22 :  Santa Nick  giving to children: fake tattoo boy
Time  23 :  Santa Nick  giving to children: whistle boy
Time  23 :  Santa Nick  giving to children: fake tattoo boy
Time  24 :  Santa Nick  giving to children: bracelet boy
Time  24 :  Santa Nick  giving to children: fake tattoo boy
Time  25 :  Santa Nick  giving to children: whistle girl
Time  25 :  Santa Nick  giving to children: train girl
Time  25 :  Santa Nick  giving to children: train boy
Time  25 :  Santa Nick  giving to children: fake tattoo boy
Time  26 :  Santa Nick  giving to children: doll girl
Time: 27 :  Santa Nick  Walking to toy department
Time  27 :  Santa Nick  retrieving from sleigh: whistle girl
Time  27 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  27 :  Santa Nick  retrieving from sleigh: train girl
Time  27 :  Santa Nick  retrieving from sleigh: whistle girl
Time  27 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  28 :  Santa Nick  retrieving from sleigh: train boy
Time  28 :  Santa Nick  retrieving from sleigh: whistle girl
Time  28 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  28 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  29 :  Santa Nick  retrieving from sleigh: train boy
Time  30 :  Santa Nick  Walking back to grotto
Time  30 :  Santa Nick  giving to children: whistle girl
Time  31 :  Santa Nick  giving to children: dinosaur boy
Time  31 :  Santa Nick  giving to children: train girl
Time  32 :  Santa Nick  giving to children: whistle girl
Time  32 :  Santa Nick  giving to children: bracelet girl
Time  33 :  Santa Nick  giving to children: train boy
Time  33 :  Santa Nick  giving to children: whistle girl
Time  33 :  Santa Nick  giving to children: bracelet girl
Time  34 :  Santa Nick  giving to children: bracelet boy
Time  34 :  Santa Nick  giving to children: train boy
